date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,id
01/01/2018 00:15,-1571.8,2.95,0.0,0.0,73.21,100.0,,Weekday,Monday,Light_Load,6819
01/01/2018 00:30,4.0,4.46,,0.0,66.77,100.0,1800.0,Weekday,Monday,Light_Load,5300
01/01/2018 00:45,3.24,3.28,0.0,0.0,,100.0,2700.0,Weekday,Monday,Light_Load,597
01/01/2018 01:00,,3.56,0.0,0.0,68.09,100.0,,Weekday,Monday,Light_Load,9597
01/01/2018 01:15,3.82,4.5,0.0,0.0,64.72,,4500.0,Weekday,,Light_Load,5128
01/01/2018 01:30,3.28,3.56,,0.0,67.76,,5400.0,,Monday,Light_Load,1643
01/01/2018 01:45,3.6,4.14,0.0,0.0,65.62,,6300.0,Weekday,Monday,,209
01/01/2018 02:00,-1571.8,4.28,0.0,0.0,64.37,100.0,7200.0,Weekday,Monday,,4424
01/01/2018 02:15,3.28,3.64,0.0,0.0,66.94,100.0,8100.0,Weekday,Monday,Light_Load,1354
01/01/2018 02:30,3.78,4.72,0.0,0.0,62.51,,9000.0,Weekday,Monday,,8877
01/01/2018 02:45,3.46,4.03,0.0,0.0,65.14,100.0,9900.0,Weekday,Monday,Light_Load,5044
01/01/2018 03:00,3.24,3.64,,0.0,66.49,100.0,10800.0,Weekday,,,3510
01/01/2018 03:15,3.96,,0.0,0.0,62.32,100.0,,Weekday,Monday,Light_Load,9798
01/01/2018 03:30,3.31,3.74,0.0,0.0,66.27,100.0,12600.0,Weekday,Monday,Light_Load,1116
01/01/2018 03:45,3.31,3.85,0.0,0.0,,100.0,13500.0,Weekday,Monday,,1327
01/01/2018 04:00,3.89,5.0,0.0,,,100.0,14400.0,Weekday,,,5288
01/01/2018 04:15,3.28,,0.0,0.0,65.14,100.0,15300.0,Weekday,Monday,Light_Load,2018
01/01/2018 04:30,3.56,4.28,0.0,0.0,,100.0,16200.0,Weekday,Monday,Light_Load,6564
01/01/2018 04:45,-1571.8,4.54,0.0,0.0,,,17100.0,Weekday,Monday,Light_Load,9646
01/01/2018 05:00,3.31,3.6,0.0,0.0,67.68,100.0,18000.0,Weekday,Monday,Light_Load,154
01/01/2018 05:15,3.56,4.07,0.0,0.0,65.84,100.0,18900.0,Weekday,Monday,Light_Load,6138
01/01/2018 05:30,3.56,4.1,,0.0,65.56,,19800.0,Weekday,Monday,Light_Load,5580
01/01/2018 05:45,3.28,3.49,0.0,0.0,68.48,100.0,20700.0,Weekday,Monday,Light_Load,9528
01/01/2018 06:00,3.78,4.32,0.0,0.0,65.85,100.0,21600.0,Weekday,Monday,Light_Load,8063
01/01/2018 06:15,3.35,3.64,0.0,0.0,67.72,100.0,22500.0,Weekday,Monday,Light_Load,8449
01/01/2018 06:30,,3.35,0.0,0.0,69.52,100.0,23400.0,Weekday,Monday,Light_Load,5073
01/01/2018 06:45,3.89,4.46,0.0,0.0,65.73,,24300.0,Weekday,Monday,Light_Load,1814
01/01/2018 07:00,3.31,3.53,0.0,0.0,68.4,100.0,25200.0,Weekday,Monday,Light_Load,869
01/01/2018 07:15,3.28,3.49,,,68.48,100.0,26100.0,Weekday,Monday,Light_Load,7284
01/01/2018 07:30,,4.75,0.0,0.0,62.97,100.0,27000.0,,Monday,Light_Load,3113
01/01/2018 07:45,3.2,3.6,,0.0,66.44,,27900.0,Weekday,Monday,Light_Load,109
01/01/2018 08:00,3.31,,0.0,0.0,65.88,100.0,,Weekday,Monday,Light_Load,2309
01/01/2018 08:15,3.78,4.75,0.0,0.0,62.27,100.0,29700.0,Weekday,Monday,Light_Load,7748
01/01/2018 08:30,3.28,3.74,0.0,0.0,65.94,100.0,30600.0,Weekday,Monday,Light_Load,1498
01/01/2018 08:45,3.49,4.46,0.18,0.0,,99.87,31500.0,Weekday,Monday,Light_Load,5010
01/01/2018 09:00,3.89,0.0,15.66,,100.0,24.11,32400.0,Weekday,,Light_Load,2863
01/01/2018 09:15,3.6,0.0,,0.0,100.0,20.76,33300.0,Weekday,Monday,Light_Load,3363
01/01/2018 09:30,4.03,0.0,21.28,,100.0,18.61,34200.0,Weekday,Monday,Light_Load,2489
01/01/2018 09:45,3.92,0.0,19.22,0.0,100.0,19.98,35100.0,Weekday,Monday,Light_Load,5448
01/01/2018 10:00,3.64,0.0,16.88,0.0,,21.08,36000.0,,Monday,Light_Load,4673
01/01/2018 10:15,4.07,,22.32,0.0,100.0,17.94,36900.0,Weekday,Monday,,4920
01/01/2018 10:30,3.71,0.0,18.0,0.0,100.0,20.19,37800.0,Weekday,Monday,Light_Load,9077
01/01/2018 10:45,3.6,0.0,16.92,0.0,,20.81,38700.0,Weekday,Monday,Light_Load,7917
01/01/2018 11:00,4.21,0.0,23.4,0.0,100.0,17.71,39600.0,Weekday,Monday,Light_Load,47
01/01/2018 11:15,3.49,0.0,5.65,0.0,100.0,52.55,40500.0,Weekday,Monday,Light_Load,4163
01/01/2018 11:30,3.46,,,0.0,100.0,58.31,41400.0,Weekday,Monday,Light_Load,4924
01/01/2018 11:45,-1571.8,0.0,6.7,0.0,,51.26,42300.0,Weekday,Monday,Light_Load,2416
01/01/2018 12:00,-1571.8,,4.57,0.0,200.0,60.69,43200.0,Weekday,Monday,Light_Load,5891
01/01/2018 12:15,3.6,0.0,12.89,0.0,100.0,26.9,44100.0,Weekday,,Light_Load,8002
,4.25,0.0,23.15,,100.0,18.06,45000.0,Weekday,Monday,Light_Load,1694
01/01/2018 12:45,,0.0,16.67,0.0,100.0,,45900.0,,Monday,Light_Load,1875
01/01/2018 13:00,3.67,0.0,16.63,0.0,100.0,21.55,46800.0,Weekday,Monday,Light_Load,9659
01/01/2018 13:15,4.25,,23.33,,100.0,17.92,47700.0,Weekday,Monday,Light_Load,5059
01/01/2018 13:30,3.64,,,0.0,100.0,,,Weekday,Monday,Light_Load,6777
01/01/2018 13:45,3.67,0.0,16.99,0.0,100.0,21.11,49500.0,Weekday,Monday,Light_Load,7349
01/01/2018 14:00,4.28,0.0,23.4,,100.0,17.99,50400.0,Weekday,Monday,Light_Load,4434
01/01/2018 14:15,3.64,0.0,16.67,0.0,100.0,21.33,,Weekday,Monday,Light_Load,4005
01/01/2018 14:30,-1571.8,0.0,18.25,0.0,100.0,20.28,52200.0,Weekday,Monday,Light_Load,1833
01/01/2018 14:45,4.1,0.0,22.1,0.0,100.0,18.24,53100.0,Weekday,Monday,Light_Load,9074
01/01/2018 15:00,3.64,,16.7,0.0,,21.3,54000.0,Weekday,Monday,,3596
01/01/2018 15:15,3.92,0.0,19.33,0.0,100.0,19.87,54900.0,Weekday,Monday,Light_Load,4654
,4.1,0.0,21.35,0.0,100.0,18.86,,Weekday,Monday,Light_Load,5534
01/01/2018 15:45,3.6,0.0,,,100.0,20.94,56700.0,Weekday,Monday,Light_Load,2338
01/01/2018 16:00,,0.0,20.45,0.0,100.0,19.01,57600.0,Weekday,Monday,Light_Load,686
01/01/2018 16:15,4.0,0.0,20.77,0.0,100.0,18.91,58500.0,Weekday,Monday,Light_Load,4319
01/01/2018 16:30,3.6,0.0,16.81,,100.0,20.94,59400.0,Weekday,Monday,Light_Load,9263
01/01/2018 16:45,4.07,0.0,21.64,,100.0,,60300.0,Weekday,Monday,Light_Load,3789
01/01/2018 17:00,,0.0,19.19,0.0,100.0,19.52,61200.0,Weekday,Monday,,1730
01/01/2018 17:15,3.56,0.0,16.96,0.0,100.0,,,Weekday,Monday,Light_Load,7283
01/01/2018 17:30,4.1,0.0,23.51,0.0,100.0,17.18,63000.0,Weekday,Monday,Light_Load,3856
01/01/2018 17:45,3.6,0.0,,0.0,100.0,20.27,63900.0,Weekday,Monday,,4549
01/01/2018 18:00,-1571.8,0.0,17.35,0.0,100.0,20.32,64800.0,Weekday,Monday,,664
01/01/2018 18:15,4.0,0.0,,,100.0,40.77,65700.0,Weekday,Monday,,2875
01/01/2018 18:30,3.42,0.0,5.47,0.0,100.0,53.01,66600.0,Weekday,Monday,Light_Load,3080
01/01/2018 18:45,-1571.8,0.0,16.24,,,22.04,,Weekday,Monday,Light_Load,7432
01/01/2018 19:00,-1571.8,0.0,,0.0,100.0,17.75,68400.0,Weekday,Monday,Light_Load,6546
01/01/2018 19:15,3.53,0.0,17.39,0.0,100.0,19.89,69300.0,Weekday,Monday,Light_Load,967
01/01/2018 19:30,3.85,0.0,20.74,0.0,100.0,,70200.0,Weekday,Monday,Light_Load,3190
01/01/2018 19:45,3.96,,20.88,0.0,200.0,,71100.0,,Monday,,3921
01/01/2018 20:00,3.56,0.0,17.35,0.0,100.0,20.1,,Weekday,Monday,Light_Load,7904
01/01/2018 20:15,4.03,0.0,22.54,0.0,100.0,17.6,72900.0,Weekday,Monday,Light_Load,435
01/01/2018 20:30,3.74,,19.55,0.0,,18.79,73800.0,Weekday,Monday,,9016
01/01/2018 20:45,3.56,0.0,17.42,0.0,100.0,20.02,74700.0,Weekday,,Light_Load,9307
01/01/2018 21:00,4.21,0.0,24.26,,100.0,17.1,75600.0,Weekday,Monday,Light_Load,1324
,3.56,0.0,,0.0,100.0,19.66,,Weekday,Monday,Light_Load,2546
01/01/2018 21:30,3.53,0.0,17.42,0.0,100.0,19.86,77400.0,Weekday,Monday,Light_Load,1361
01/01/2018 21:45,4.25,0.0,25.2,,100.0,,78300.0,Weekday,Monday,Light_Load,3808
01/01/2018 22:00,3.53,0.0,17.5,0.0,,19.77,79200.0,Weekday,Monday,Light_Load,6051
01/01/2018 22:15,3.56,1.44,10.08,0.0,92.7,33.3,80100.0,Weekday,Monday,Light_Load,8293
01/01/2018 22:30,3.67,4.21,0.0,0.0,65.71,100.0,81000.0,Weekday,Monday,Light_Load,8204
01/01/2018 22:45,3.24,,0.0,0.0,69.52,100.0,81900.0,Weekday,,Light_Load,8186
,3.53,3.74,0.0,,68.64,100.0,82800.0,Weekday,Monday,Light_Load,4764
01/01/2018 23:15,3.53,3.42,0.0,0.0,71.82,,83700.0,Weekday,Monday,Light_Load,3533
01/01/2018 23:30,3.24,2.95,0.0,,,100.0,84600.0,Weekday,Monday,Light_Load,6574
01/01/2018 23:45,3.67,3.96,0.0,0.0,67.97,100.0,85500.0,Weekday,Monday,Light_Load,7234
01/01/2018 00:00,,3.46,0.0,0.0,70.3,100.0,0.0,Weekday,Monday,Light_Load,3595
,3.2,3.1,0.0,0.0,71.82,100.0,900.0,Weekday,Tuesday,Light_Load,7743
02/01/2018 00:30,3.85,4.61,0.0,0.0,64.1,100.0,1800.0,Weekday,Tuesday,,1894
02/01/2018 00:45,-1571.8,3.67,0.0,0.0,66.64,100.0,2700.0,Weekday,Tuesday,Light_Load,5923
02/01/2018 01:00,3.35,3.6,0.0,0.0,,100.0,3600.0,Weekday,Tuesday,Light_Load,8351
02/01/2018 01:15,3.89,4.72,0.0,0.0,200.0,100.0,,Weekday,Tuesday,Light_Load,3344
02/01/2018 01:30,3.28,3.53,0.0,0.0,200.0,,5400.0,Weekday,Tuesday,Light_Load,249
02/01/2018 01:45,3.46,3.96,0.0,0.0,65.8,100.0,,Weekday,Tuesday,Light_Load,1905
02/01/2018 02:00,3.78,4.82,0.0,0.0,61.71,100.0,7200.0,Weekday,Tuesday,,8991
02/01/2018 02:15,3.31,3.53,0.0,0.0,68.4,100.0,8100.0,Weekday,Tuesday,Light_Load,2895
,3.6,4.36,0.0,0.0,,,9000.0,Weekday,,Light_Load,3025
02/01/2018 02:45,3.64,4.39,0.0,0.0,63.83,100.0,9900.0,Weekday,Tuesday,Light_Load,5802
02/01/2018 03:00,3.28,3.71,0.0,0.0,66.24,100.0,10800.0,Weekday,Tuesday,Light_Load,6803
02/01/2018 03:15,,4.57,0.0,0.0,,100.0,11700.0,Weekday,Tuesday,,2326
02/01/2018 03:30,3.56,4.03,,0.0,66.21,100.0,12600.0,Weekday,Tuesday,Light_Load,9245
02/01/2018 03:45,3.24,3.49,0.0,0.0,68.04,,,Weekday,Tuesday,,9913
02/01/2018 04:00,3.89,4.64,,0.0,64.25,100.0,14400.0,Weekday,Tuesday,,322
02/01/2018 04:15,3.28,3.42,0.0,0.0,,100.0,15300.0,Weekday,,Light_Load,8880
02/01/2018 04:30,3.28,3.49,0.0,0.0,68.48,100.0,16200.0,,Tuesday,Light_Load,6357
02/01/2018 04:45,3.96,4.68,0.0,0.0,64.59,100.0,17100.0,Weekday,,Light_Load,4878
